title,meta_tags
Avatar,action adventure fantasy science fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relation mind and soul 3d 22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following order protecting alien civilization
Pirates of the Caribbean: At World's End,adventure fantasy action ocean drug abuse exotic island east india trading company love of one 's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems
Spectre,action adventure crime spy based on novel secret agent sequel mi6 british secret service united kingdom cryptic message bond past sends trail uncover sinister organization battle political force keep secret service alive peel back layer deceit reveal terrible truth behind spectre
The Dark Knight Rises,action crime drama thriller dc comic crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman following death district attorney harvey dent batman assumes responsibility crime protect late reputation subsequently hunted gotham city police department eight year later encounter mysterious selina kyle villainous bane new terrorist leader overwhelms finest dark knight resurfaces branded enemy
John Carter,action adventure science fiction based on novel mar medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mar civilization sword and planet 19th century 3d john carter war weary former military captain inexplicably transported mysterious exotic planet barsoom mar reluctantly becomes embroiled epic conflict world brink collapse rediscovers humanity realizes survival people rest hand
Spider-Man 3,fantasy action adventure dual identity amnesia sandstorm love of one 's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge seemingly invincible spider man go new crop villain including shape shifting sandman superpower altered alien organism alter ego peter parker deal nemesis eddie brock also get caught love triangle
Tangled,animation family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick kingdom wanted charming bandit flynn rider hide mysterious tower taken hostage rapunzel beautiful feisty bound teen 70 foot magical golden hair curious captor looking ticket locked away year strike deal handsome thief unlikely duo set action packed escapade complete super cop horse protective chameleon gruff gang pub thug
Avengers: Age of Ultron,action adventure science fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d tony stark try jumpstart dormant peacekeeping program thing go awry earth mightiest hero put ultimate test fate planet hang balance villainous ultron emerges avenger stop enacting terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure
Harry Potter and the Half-Blood Prince,adventure fantasy family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf harry begin sixth year hogwarts discovers old book marked property half blood prince learn lord voldemort dark past
Batman v Superman: Dawn of Justice,action adventure fantasy dc comic vigilante superhero based on comic book revenge super power clark kent bruce wayne dc extended universe fearing action god like super hero left unchecked gotham city formidable forceful vigilante take metropolis revered modern day savior world wrestle sort really need batman superman war one another new threat quickly arises putting mankind greater danger ever known
Superman Returns,adventure fantasy action science fiction saving the world dc comic invulnerability sequel superhero based on comic book kryptonite super power superhuman strength lex luthor superman return discover 5 year absence allowed lex luthor walk free closest felt abandoned moved plot ultimate revenge could see million killed change face planet forever well ridding man steel
Quantum of Solace,adventure action thriller crime killing undercover secret agent british secret service quantum solace continues adventure james bond casino royale betrayed vesper woman loved 007 fight urge make latest mission personal pursuing determination uncover truth interrogate mr white reveals organization blackmailed far complex dangerous anyone imagined
Pirates of the Caribbean: Dead Man's Chest,adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger captain jack sparrow work way blood debt ghostly davey jones also attempt avoid eternal damnation
The Lone Ranger,action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto texas ranger chase gang outlaw led butch cavendish ambush seemingly killing one survivor found however american indian named tonto nurse back health ranger donning mask riding white stallion silver team bring unscrupulous others ilk justice
Man of Steel,action adventure fantasy science fiction saving the world dc comic superhero based on comic book superhuman alien invasion reboot super power dc extended universe young boy learns extraordinary power earth man journey discover came sent hero must emerge save world annihilation become symbol hope mankind
The Chronicles of Narnia: Prince Caspian,adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world one year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new character including trufflehunter badger nikabrik dwarf clan embarks quest ensure returned rightful heir
The Avengers,science fiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known h e l find need team pull world back brink disaster spanning globe daring recruitment effort begin
Pirates of the Caribbean: On Stranger Tides,adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d captain jack sparrow cross path woman past sure love ruthless con artist using find fabled fountain youth force aboard queen anne revenge ship formidable pirate blackbeard find unexpected adventure know fear
Men in Black 3,action comedy science fiction time travel time machine alien fictional government agency seeing the future changing history agent j smith k tommy lee jones back time seen inexplicable thing 15 year men black nothing even alien perplexes much wry reticent partner life fate planet put stake agent travel right discovers secret universe never told reveal team young josh brolin save agency future humankind
The Hobbit: The Battle of the Five Armies,action adventure fantasy corruption elf dwarf orcs middle-earth ( tolkien ) hobbit dragon battle unlikely friendship epic battle sword and sorcery immediately event desolation smaug bilbo dwarf try defend erebor mountain treasure others claim men ruined laketown elf mirkwood meanwhile army orcs led azog defiler marching fueled rise dark lord sauron must unite hope middle earth fall hand
The Amazing Spider-Man,action adventure fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super power genetic engineering social outcast duringcreditsstinger peter parker outcast high schooler abandoned parent boy leaving raised uncle ben aunt may like teenager trying figure got person today discovers mysterious briefcase belonged father begin quest understand disappearance leading directly oscorp lab dr curt connors former partner spider man set collision course alter ego lizard make life altering choice use power shape destiny become hero
Robin Hood,action adventure robin hood archer knight sherwood forest bow and arrow middle age medieval king of england soldier robin happens upon dying robert loxley promise return man sword family nottingham assumes identity romance widow marion draw ire town sheriff king john henchman godfrey
The Hobbit: The Desolation of Smaug,adventure fantasy elf dwarf orcs hobbit dragon wizard sword and sorcery dwarf bilbo gandalf successfully escaped misty mountain gained one ring continue journey get gold back dragon smaug
